title,album_name,artist_name
오늘밤도,오늘밤도,펀치 (Punch)
비가 온다,그리고 봄,정승환
빨간 맛 (Red Flavor),The Red Summer - Summer Mini Album,레드벨벳(Red Velvet)
빛 (Hope),Resurrection,H.O.T
가시나,SUNMI SPECIAL EDITION [가시나],선미
노력,01월 24일,박원
봄날,YOU NEVER WALK ALONE,방탄소년단
Beautiful,1-1=0 (NOTHING WITHOUT YOU),Wanna One (워너원)
첫눈처럼 너에게 가겠다,도깨비 OST Part 9,에일리 (Ailee)
"그때의 나, 그때의 우리","그때의 나, 그때의 우리",어반 자카파 (Urban Zakapa)
후유증,후유증,"김희철, 민경훈"
비도 오고 그래서 (Feat. 신용재),/// (너 먹구름 비),헤이즈 (Heize)
There`s Nothing Holdin` Me Back,Illuminate (New Deluxe Ver.),Shawn Mendes
썸 탈꺼야,Red Diary Page.1,볼빨간 사춘기
너 없는 시간들,&10,다비치
True Love,1st Album `10 Stories`,김성규
You,투유 프로젝트 - 슈가맨2 Part.2,멜로망스(MeloMance)
좋아,2017 월간 윤종신 11월호,"윤종신, 민서"
눈 떠보니 이별이더라,REMEMBER ME,포맨 (4Men)
시차 (We Are) (Feat. 로꼬 & GRAY),시차 (We Are),우원재
가을 안부,가을 안부,먼데이키즈 (Monday Kiz)
그리워하다,Brother Act.,비투비 (BTOB)
답장,답장,김동률
기억의 빈자리,기억의 빈자리,나얼
피카부 (Peek-A-Boo),Perfect Velvet - The 2nd Album,레드벨벳(Red Velvet)
밤편지,밤편지,아이유 (IU)
Shape of You,? (Deluxe),Ed Sheeran
My Way,돈꽃 OST Part 1,이수
LIKEY,twicetagram,TWICE
DNA,LOVE YOURSELF 承 `Her`,방탄소년단
다른사람을 사랑하고 있어,Faces of Love,수지
all of my life,0M,박원
좋니,LISTEN 010 좋니,윤종신
이 별,Star,길구봉구
Heart Shaker,Merry & Happy,TWICE
밤이 되니까,밤이 되니까,펀치 (Punch)
#첫사랑,#첫사랑,볼빨간 사춘기
instagram,instagram,DEAN
주인공,주인공,선미
비행운,LIFE IS BEAUTY FULL,문문 (MoonMoon)
눈사람,눈사람,정승환
HandClap,Fitz and The Tantrums (Deluxe),Fitz & The Tantrums
선물,Moonlight,멜로망스(Melomance)
Havana (Feat. Young Thug),Havana,Camila Cabello
Roller Coaster,Offset,청하
Bad Boy,The Perfect Red Velvet - The 2nd Album Repackage,레드벨벳(Red Velvet)
그날처럼,그날처럼,장덕철
그때 헤어지면 돼,그때 헤어지면 돼,로이킴
뿜뿜,GREAT!,모모랜드 (MOMOLAND)
붕붕 (Feat. Sik-K) (Prod. GroovyRoom),고등래퍼2 Final,김하온 (HAON)
Adios (Prod. BOYCOLD),고등래퍼2 Semi Final,김하온 (HAON)
花요일 (Blooming Day),Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
What is Love?,What is Love?,TWICE
LA LA,EVERYD4Y,WINNER
여보세요 (HELLO),EVERYD4Y,WINNER
예뻤더라 (WE WERE),EVERYD4Y,WINNER
아름다운 (Feat. 헤이즈),아름다운,신용재
탓 (Prod. BOYCOLD),고등래퍼2 Semi Final,이병재 (Vinxen)
그대니까요,라이브 OST Part.3,다비치
MADMAX (Feat. Woodie Gochild) (Prod. GroovyRoom),고등래퍼2 팀대항전 Part 3,박준호 (PULLIK)
손만 잡고 자자 (TURN OFF THE LIGHT) (MINO SOLO),EVERYD4Y,WINNER
넋두리,넋두리,닐로 (Nilo)
AIR,EVERYD4Y,WINNER
"Young Wave (Feat. 행주, 보이비)",고등래퍼2 팀대항전 Part 3,오담률 (CHIN CHILLA)
내일해,내일해,EXID
EVERYDAY,EVERYD4Y,WINNER
봄이 좋냐??,3.2,10cm
매일 봐요,매일 봐요 (MAEIL BIO),마마무 (Mamamoo)
하루끝엔 그대가 있어요,라이브OST Part.2,한동근
Someone like you,라이브 OST Part.1,EXO-CBX (첸백시)
널 부르는 밤,Sound Doctrine,나얼
봄 사랑 벚꽃 말고,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)"
남겨둘게 (Feat. 헤이즈),남겨둘게,키썸 (Kisum)
그럴 수밖에,그럴 수밖에,김동률
지나오다,About You,닐로 (Nilo)
바코드 (Prod. GroovyRoom),고등래퍼2 팀대항전 Part 3,"김하온 (HAON), 이병재 (Vinxen)"
운명 (The Chance of Love),New Chapter #1 : The Chance of Love - The 8th Album,동방신기
"Like It (Feat. 행주, 보이비)",고등래퍼2 팀대항전 Part 2,"배연서 (WEBSTER B), 윤진영(Clloud)"
비,비,폴킴
어린 왕자 (Prod. Godic),고등래퍼2 팀대항전 Part 2,"김하온(HAON), 박준호(PULLIK)"
껍데기는 가,고등래퍼2 팀대항전 Part 1,"김근수, 조원우 (H2ADIN)"
"모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,폴킴
약속해요 (고백 Ver.),0+1=1 (I PROMISE YOU),Wanna One (워너원)
WE ARE,0+1=1 (I PROMISE YOU),Wanna One (워너원)
보여,0+1=1 (I PROMISE YOU),Wanna One (워너원)
너의 이름을,0+1=1 (I PROMISE YOU),Wanna One (워너원)
GOLD,0+1=1 (I PROMISE YOU),Wanna One (워너원)
소나기 (Feat. 10cm),소나기,용준형
BOOMERANG (부메랑),0+1=1 (I PROMISE YOU),Wanna One (워너원)
북 (Prod.SLO),고등래퍼2 팀대항전 Part 1,"배연서 (WEBSTER B), 오담률 (CHIN CHILLA)"
BOSS,NCT 2018 EMPATHY,NCT U
결혼,이번 생은 처음이라 OST Part 4,문문 (MoonMoon)
실례해도 될까요,LISTEN 020 실례해도 될까요,"장재인, 수호(SUHO)"
Action! (Feat. GRAY),Action!,DPR LIVE
